order_details_id,order_id,item_id,realdate,realtime,item_name,category,price
1,1,109,2023-01-01,11:38:36,"Korean Beef Bowl",Asian,17.95
2,2,108,2023-01-01,11:57:40,"Tofu Pad Thai",Asian,14.5
3,2,124,2023-01-01,11:57:40,Spaghetti,Italian,14.5
4,2,117,2023-01-01,11:57:40,"Chicken Burrito",Mexican,12.95
5,2,129,2023-01-01,11:57:40,"Mushroom Ravioli",Italian,15.5
6,2,106,2023-01-01,11:57:40,"French Fries",American,7
7,3,117,2023-01-01,12:12:28,"Chicken Burrito",Mexican,12.95
8,3,119,2023-01-01,12:12:28,"Chicken Torta",Mexican,11.95
9,4,117,2023-01-01,12:16:31,"Chicken Burrito",Mexican,12.95
10,5,117,2023-01-01,12:21:30,"Chicken Burrito",Mexican,12.95
11,6,101,2023-01-01,12:29:36,Hamburger,American,12.95
12,6,114,2023-01-01,12:29:36,Potstickers,Asian,9
13,7,123,2023-01-01,12:50:37,"Chips & Guacamole",Mexican,9
14,8,123,2023-01-01,12:51:37,"Chips & Guacamole",Mexican,9
15,9,108,2023-01-01,12:52:01,"Tofu Pad Thai",Asian,14.5
16,9,126,2023-01-01,12:52:01,"Fettuccine Alfredo",Italian,14.5
17,9,110,2023-01-01,12:52:01,"Pork Ramen",Asian,17.95
18,9,117,2023-01-01,12:52:01,"Chicken Burrito",Mexican,12.95
19,9,117,2023-01-01,12:52:01,"Chicken Burrito",Mexican,12.95
20,9,129,2023-01-01,12:52:01,"Mushroom Ravioli",Italian,15.5
21,9,122,2023-01-01,12:52:01,"Chips & Salsa",Mexican,7
22,9,130,2023-01-01,12:52:01,"Shrimp Scampi",Italian,19.95
23,9,132,2023-01-01,12:52:01,"Eggplant Parmesan",Italian,16.95
24,10,129,2023-01-01,13:00:15,"Mushroom Ravioli",Italian,15.5
25,10,105,2023-01-01,13:00:15,"Mac & Cheese",American,7
26,11,101,2023-01-01,13:02:59,Hamburger,American,12.95
27,11,102,2023-01-01,13:02:59,Cheeseburger,American,13.95
28,11,102,2023-01-01,13:02:59,Cheeseburger,American,13.95
29,11,113,2023-01-01,13:02:59,Edamame,Asian,5
30,12,102,2023-01-01,13:04:41,Cheeseburger,American,13.95
31,12,102,2023-01-01,13:04:41,Cheeseburger,American,13.95
32,12,104,2023-01-01,13:04:41,"Veggie Burger",American,10.5
33,12,117,2023-01-01,13:04:41,"Chicken Burrito",Mexican,12.95
34,13,129,2023-01-01,13:11:55,"Mushroom Ravioli",Italian,15.5
35,14,114,2023-01-01,13:14:19,Potstickers,Asian,9
36,15,107,2023-01-01,13:33:00,"Orange Chicken",Asian,16.5
37,15,124,2023-01-01,13:33:00,Spaghetti,Italian,14.5
38,15,121,2023-01-01,13:33:00,"Cheese Quesadillas",Mexican,10.5
39,15,114,2023-01-01,13:33:00,Potstickers,Asian,9
40,16,125,2023-01-01,13:34:07,"Spaghetti & Meatballs",Italian,17.95
41,16,111,2023-01-01,13:34:07,"California Roll",Asian,11.95
42,16,106,2023-01-01,13:34:07,"French Fries",American,7
43,17,101,2023-01-01,13:53:00,Hamburger,American,12.95
44,17,116,2023-01-01,13:53:00,"Steak Tacos",Mexican,13.95
45,17,124,2023-01-01,13:53:00,Spaghetti,Italian,14.5
46,17,125,2023-01-01,13:53:00,"Spaghetti & Meatballs",Italian,17.95
47,17,117,2023-01-01,13:53:00,"Chicken Burrito",Mexican,12.95
48,17,127,2023-01-01,13:53:00,"Meat Lasagna",Italian,17.95
49,17,128,2023-01-01,13:53:00,"Cheese Lasagna",Italian,15.5
50,17,129,2023-01-01,13:53:00,"Mushroom Ravioli",Italian,15.5
51,17,118,2023-01-01,13:53:00,"Steak Burrito",Mexican,14.95
52,17,131,2023-01-01,13:53:00,"Chicken Parmesan",Italian,17.95
53,18,111,2023-01-01,13:57:08,"California Roll",Asian,11.95
54,19,110,2023-01-01,13:59:09,"Pork Ramen",Asian,17.95
55,19,120,2023-01-01,13:59:09,"Steak Torta",Mexican,13.95
56,20,107,2023-01-01,14:03:08,"Orange Chicken",Asian,16.5
57,20,124,2023-01-01,14:03:08,Spaghetti,Italian,14.5
58,21,110,2023-01-01,14:14:29,"Pork Ramen",Asian,17.95
59,22,124,2023-01-01,14:16:26,Spaghetti,Italian,14.5
60,22,110,2023-01-01,14:16:26,"Pork Ramen",Asian,17.95
61,22,105,2023-01-01,14:16:26,"Mac & Cheese",American,7
62,23,105,2023-01-01,14:19:03,"Mac & Cheese",American,7
63,24,101,2023-01-01,14:23:01,Hamburger,American,12.95
64,24,110,2023-01-01,14:23:01,"Pork Ramen",Asian,17.95
65,24,113,2023-01-01,14:23:01,Edamame,Asian,5
66,24,119,2023-01-01,14:23:01,"Chicken Torta",Mexican,11.95
67,25,120,2023-01-01,14:44:44,"Steak Torta",Mexican,13.95
68,25,106,2023-01-01,14:44:44,"French Fries",American,7
69,26,108,2023-01-01,14:54:26,"Tofu Pad Thai",Asian,14.5
70,26,132,2023-01-01,14:54:26,"Eggplant Parmesan",Italian,16.95
71,27,101,2023-01-01,15:11:17,Hamburger,American,12.95
72,27,108,2023-01-01,15:11:17,"Tofu Pad Thai",Asian,14.5
73,27,131,2023-01-01,15:11:17,"Chicken Parmesan",Italian,17.95
74,28,103,2023-01-01,15:35:46,"Hot Dog",American,9
75,29,126,2023-01-01,15:41:01,"Fettuccine Alfredo",Italian,14.5
76,30,106,2023-01-01,15:41:25,"French Fries",American,7
77,31,129,2023-01-01,15:50:18,"Mushroom Ravioli",Italian,15.5
78,31,113,2023-01-01,15:50:18,Edamame,Asian,5
79,32,107,2023-01-01,15:53:18,"Orange Chicken",Asian,16.5
80,32,126,2023-01-01,15:53:18,"Fettuccine Alfredo",Italian,14.5
81,32,110,2023-01-01,15:53:18,"Pork Ramen",Asian,17.95
82,32,117,2023-01-01,15:53:18,"Chicken Burrito",Mexican,12.95
83,33,101,2023-01-01,15:54:08,Hamburger,American,12.95
84,33,126,2023-01-01,15:54:08,"Fettuccine Alfredo",Italian,14.5
85,34,114,2023-01-01,16:21:21,Potstickers,Asian,9
86,35,126,2023-01-01,16:32:04,"Fettuccine Alfredo",Italian,14.5
87,35,112,2023-01-01,16:32:04,"Salmon Roll",Asian,14.95
88,35,113,2023-01-01,16:32:04,Edamame,Asian,5
89,35,106,2023-01-01,16:32:04,"French Fries",American,7
90,36,101,2023-01-01,16:54:09,Hamburger,American,12.95
91,36,108,2023-01-01,16:54:09,"Tofu Pad Thai",Asian,14.5
92,37,117,2023-01-01,16:56:09,"Chicken Burrito",Mexican,12.95
93,37,129,2023-01-01,16:56:09,"Mushroom Ravioli",Italian,15.5
94,38,109,2023-01-01,17:03:00,"Korean Beef Bowl",Asian,17.95
95,38,110,2023-01-01,17:03:00,"Pork Ramen",Asian,17.95
96,39,117,2023-01-01,17:07:23,"Chicken Burrito",Mexican,12.95
97,40,125,2023-01-01,17:14:36,"Spaghetti & Meatballs",Italian,17.95
98,40,105,2023-01-01,17:14:36,"Mac & Cheese",American,7
99,41,125,2023-01-01,17:15:20,"Spaghetti & Meatballs",Italian,17.95
100,41,126,2023-01-01,17:15:20,"Fettuccine Alfredo",Italian,14.5
101,42,107,2023-01-01,17:28:09,"Orange Chicken",Asian,16.5
102,42,124,2023-01-01,17:28:09,Spaghetti,Italian,14.5
103,42,129,2023-01-01,17:28:09,"Mushroom Ravioli",Italian,15.5
104,42,118,2023-01-01,17:28:09,"Steak Burrito",Mexican,14.95
105,43,103,2023-01-01,17:38:34,"Hot Dog",American,9
106,43,117,2023-01-01,17:38:34,"Chicken Burrito",Mexican,12.95
107,43,118,2023-01-01,17:38:34,"Steak Burrito",Mexican,14.95
108,44,130,2023-01-01,17:54:20,"Shrimp Scampi",Italian,19.95
109,45,125,2023-01-01,17:55:48,"Spaghetti & Meatballs",Italian,17.95
110,45,109,2023-01-01,17:55:48,"Korean Beef Bowl",Asian,17.95
111,45,106,2023-01-01,17:55:48,"French Fries",American,7
112,46,104,2023-01-01,18:25:51,"Veggie Burger",American,10.5
113,46,108,2023-01-01,18:25:51,"Tofu Pad Thai",Asian,14.5
114,46,106,2023-01-01,18:25:51,"French Fries",American,7
115,47,105,2023-01-01,18:26:34,"Mac & Cheese",American,7
116,47,132,2023-01-01,18:26:34,"Eggplant Parmesan",Italian,16.95
117,48,104,2023-01-01,18:26:42,"Veggie Burger",American,10.5
118,48,126,2023-01-01,18:26:42,"Fettuccine Alfredo",Italian,14.5
119,48,119,2023-01-01,18:26:42,"Chicken Torta",Mexican,11.95
120,48,122,2023-01-01,18:26:42,"Chips & Salsa",Mexican,7
